"var1","var2","var3","var4","var5", 'States'
"1","y",0.595764074691895,6.43359875970054,17,"New Mexico"
"2","i",0.564513099980061,8.58037791843526,23,"Wisconsin"
"3","n",0.0336271255081423,3.86064694193192,16,"Arkansas"
"4","s",2.46679280795183,3.61036925110966,49,"West Virginia"
"5","h",-0.0284061772501498,5.89989746373612,29,"Rhode Island"
"6","v",0.915004290406149,1.8679082300514,28,"South Dakota"
"7","o",-0.552047729971351,4.86290042463224,32,"Nebraska"
"8","s",1.62396076656201,2.97046477813274,11,"North Dakota"
"9","w",0.607496008966505,3.91123373236042,29,"Alabama"
"10","c",0.467412078674402,8.41096888354514,26,"Washington"
"11","v",1.59938860911539,4.11025133065414,19,"Oregon"
"12","l",0.754601564898891,8.51697981660254,33,"New Hampshire"
"13","w",-1.85497273084293,4.62516923900694,39,"Michigan"
"14","l",0.673402874886389,4.81113493151497,49,"Maryland"
"15","t",-1.01672525651216,3.45331423799507,18,"Mississippi"
"16","h",-0.539909725455534,3.12079101928975,42,"Louisiana"
"17","n",0.888252810732004,5.20971069857478,28,"Oregon"
"18","w",-1.77741840690383,8.29615805216599,34,"Utah"
"19","q",0.870075845456471,7.00315345928539,19,"Illinois"
"20","w",-0.703665158187631,3.65460910159163,25,"Minnesota"
"21","o",-1.1420711565637,1.06855561060365,47,"Illinois"
"22","y",1.44011663584127,3.87273022031877,18,"Illinois"
"23","f",-0.979758079812508,4.77302114991471,34,"Nevada"
"24","p",-0.910642094993112,5.03353368653916,44,"Nevada"
"25","t",0.663072755164482,3.6161345471628,37,"Arizona"
"26","l",0.497054007565463,2.44808409991674,46,"New Mexico"
"27","x",0.613119369004609,6.19351807702333,15,"Kentucky"
"28","t",0.644746025859988,9.34304602188058,32,"New Hampshire"
"29","p",-0.511489963152563,8.07934629369993,27,"Arkansas"
"30","r",-2.1993633856686,6.29840763483662,32,"Kansas"
"31","s",0.177069359264723,2.05984606605489,21,"New Jersey"
"32","y",-0.888379632675617,8.6922972118482,23,"Pennsylvania"
"33","m",-0.659291660115813,3.65238614566624,40,"North Carolina"
"34","f",0.508320759448582,5.81097797991242,41,"Louisiana"
"35","n",0.989095916447523,7.88985204917844,20,"Indiana"
"36","q",0.0821784198988709,3.22376052627806,10,"Iowa"
"37","a",-0.709555222997138,8.41645577922463,33,"South Dakota"
"38","z",0.718274420083648,1.43782902637031,14,"Missouri"
"39","t",1.88679889879959,6.54002985917032,40,"Oklahoma"
"40","d",1.81296178819843,8.17084849893581,27,"Maryland"
"41","r",1.27653113542797,3.48266946384683,11,"Hawaii"
"42","t",-0.0706384375058925,6.2430524090305,20,"Colorado"
"43","k",-0.469837090804685,3.98665084654931,38,"Kansas"
"44","y",-0.507677238262938,2.33517078578006,22,"Connecticut"
"45","e",0.68198258900802,9.10346979182214,47,"South Carolina"
"46","r",-0.274871699714326,3.63749794487376,10,"Ohio"
"47","h",1.08315753468837,9.26712303806562,35,"New Mexico"
